account_id,risk_score,tenure_years,seat_tier,ticket_utilization_pct,secondary_resale_pct,complaints_logged,customer_satisfaction_score
NFL-STH-10076,75,6,Lower Bowl,44.4,62.7,1,
NFL-STH-10139,75,15,Upper Bowl,33.3,66.5,0,
NFL-STH-10103,75,3,Upper Bowl,33.3,85.0,0,
NFL-STH-10089,75,3,Lower Bowl,33.3,74.0,0,
NFL-STH-10326,75,4,Upper Bowl,33.3,60.3,0,
NFL-STH-10370,75,1,Upper Bowl,33.3,85.0,0,
NFL-STH-10290,75,1,Upper Bowl,33.3,69.4,0,
NFL-STH-10965,75,2,Upper Bowl,33.3,69.7,1,
NFL-STH-10749,75,4,Upper Bowl,44.4,68.5,1,
NFL-STH-10659,75,4,Upper Bowl,44.4,69.6,1,
NFL-STH-10999,75,3,Upper Bowl,44.4,61.4,1,
NFL-STH-10545,75,2,Lower Bowl,33.3,67.8,1,
NFL-STH-10205,75,1,Upper Bowl,33.3,67.4,0,
NFL-STH-10061,55,2,Lower Bowl,44.4,61.2,0,7.0
NFL-STH-10024,55,3,Lower Bowl,33.3,64.7,0,9.0
NFL-STH-10002,55,6,Upper Bowl,33.3,79.0,0,6.0
NFL-STH-10931,55,8,Upper Bowl,44.4,59.2,0,8.0
NFL-STH-10173,55,2,Upper Bowl,44.4,57.6,0,9.0
NFL-STH-10143,55,2,Lower Bowl,44.4,62.9,0,6.0
NFL-STH-10164,55,1,Lower Bowl,22.2,78.1,0,7.0
NFL-STH-10124,55,2,Upper Bowl,44.4,62.8,0,8.0
NFL-STH-10073,55,7,Upper Bowl,22.2,83.5,1,8.0
NFL-STH-10079,55,1,Upper Bowl,33.3,74.8,0,7.0
NFL-STH-10140,55,14,Upper Bowl,33.3,77.9,0,8.0
NFL-STH-10018,55,3,Club VIP,33.3,69.1,1,7.0
NFL-STH-10363,55,4,Lower Bowl,33.3,61.6,0,9.0
NFL-STH-10375,55,2,Lower Bowl,44.4,59.8,0,7.0
NFL-STH-10500,55,5,Upper Bowl,44.4,60.4,0,9.0
NFL-STH-10379,55,2,Upper Bowl,44.4,65.2,0,9.0
NFL-STH-10307,55,2,Upper Bowl,22.2,67.8,0,8.0
NFL-STH-10216,55,2,Upper Bowl,44.4,56.1,1,6.0
NFL-STH-10299,55,1,Lower Bowl,22.2,72.8,0,8.0
NFL-STH-10574,55,8,Lower Bowl,44.4,72.4,0,8.0
NFL-STH-10526,55,3,Lower Bowl,33.3,64.0,0,9.0
NFL-STH-10507,55,7,Lower Bowl,44.4,58.2,0,7.0
NFL-STH-10481,55,5,Upper Bowl,44.4,67.9,0,9.0
NFL-STH-10657,55,2,Upper Bowl,44.4,44.5,2,7.0
NFL-STH-10704,55,1,Upper Bowl,44.4,51.8,2,6.0
NFL-STH-10654,55,3,Upper Bowl,22.2,73.4,1,5.0
NFL-STH-10720,55,12,Upper Bowl,33.3,75.1,0,9.0
NFL-STH-10620,55,1,Upper Bowl,44.4,55.9,0,8.0
NFL-STH-10589,55,1,Upper Bowl,44.4,58.0,0,7.0
NFL-STH-10636,55,4,Upper Bowl,44.4,62.5,0,10.0
NFL-STH-10634,55,1,Upper Bowl,44.4,56.7,0,8.0
NFL-STH-10442,55,2,Upper Bowl,33.3,73.3,0,9.0
NFL-STH-10499,55,18,Lower Bowl,44.4,57.8,0,8.0
NFL-STH-10396,55,8,Lower Bowl,33.3,73.2,0,8.0
NFL-STH-10177,55,2,Upper Bowl,33.3,67.1,0,8.0
NFL-STH-10809,55,1,Upper Bowl,44.4,59.5,1,6.0
NFL-STH-10921,55,3,Upper Bowl,33.3,85.0,1,6.0
NFL-STH-10861,55,3,Lower Bowl,22.2,82.6,0,8.0
NFL-STH-10978,55,3,Upper Bowl,44.4,61.2,0,8.0
NFL-STH-10925,55,1,Upper Bowl,44.4,83.8,0,8.0
NFL-STH-10848,55,3,Lower Bowl,22.2,78.7,1,7.0
NFL-STH-10621,55,1,Upper Bowl,22.2,65.9,0,8.0
NFL-STH-10625,55,2,Upper Bowl,33.3,73.3,0,7.0
NFL-STH-10887,50,2,Lower Bowl,44.4,49.5,1,
NFL-STH-10451,50,4,Upper Bowl,44.4,49.5,0,
NFL-STH-10568,50,10,Upper Bowl,44.4,33.1,0,
NFL-STH-10197,50,10,Upper Bowl,44.4,41.7,0,
NFL-STH-10943,50,8,Upper Bowl,44.4,53.9,0,
NFL-STH-10797,50,4,Upper Bowl,44.4,52.2,0,
NFL-STH-10881,50,5,Upper Bowl,44.4,50.0,0,
NFL-STH-10681,50,2,Upper Bowl,44.4,53.9,0,
NFL-STH-10078,45,2,Upper Bowl,66.7,64.4,1,
NFL-STH-10548,45,3,Lower Bowl,88.9,9.2,2,
NFL-STH-10511,45,3,Upper Bowl,66.7,28.3,2,
NFL-STH-10455,45,3,Club VIP,100.0,0.0,2,
NFL-STH-10381,45,5,Upper Bowl,77.8,27.3,3,
NFL-STH-10343,45,3,Lower Bowl,66.7,34.8,2,
NFL-STH-10357,45,4,Club VIP,100.0,0.0,2,
NFL-STH-10380,45,1,Upper Bowl,77.8,40.3,2,
NFL-STH-10236,45,2,Upper Bowl,88.9,10.4,2,
NFL-STH-10564,45,2,Lower Bowl,55.6,43.7,3,
NFL-STH-10656,45,2,Upper Bowl,66.7,50.3,2,
NFL-STH-10665,45,1,Lower Bowl,77.8,28.8,3,
NFL-STH-10737,45,7,Lower Bowl,100.0,0.0,2,
NFL-STH-10798,45,5,Upper Bowl,77.8,18.5,2,
NFL-STH-10869,45,12,Lower Bowl,77.8,30.8,3,
NFL-STH-10954,45,3,Upper Bowl,100.0,0.0,3,
