account_id,tenure_years,seat_tier,seat_count,total_annual_ticket_spend,games_scheduled,games_attended,ticket_utilization_pct,secondary_resale_pct,total_season_concession_spend,rep_touchpoints_count,complaints_logged,customer_satisfaction_score,team_wins_attended,churned
NFL-STH-10000,2,Lower Bowl,2,3362,9,8,88.9,11.1,1378.88,5,0,10.0,5,0
NFL-STH-10001,13,Lower Bowl,2,3422,9,9,100.0,0.0,1000.44,2,0,9.0,6,0
NFL-STH-10002,6,Upper Bowl,4,3357,9,3,33.3,79.0,491.88,2,0,6.0,2,0
NFL-STH-10003,4,Lower Bowl,4,6679,9,8,88.9,20.9,2242.4,2,0,10.0,6,0
NFL-STH-10004,1,Lower Bowl,4,6628,9,7,77.8,8.2,1403.15,1,0,9.0,6,0
NFL-STH-10005,1,Upper Bowl,4,3654,9,6,66.7,39.2,964.92,4,0,9.0,3,0
NFL-STH-10006,1,Lower Bowl,4,6949,9,4,44.4,53.5,688.24,5,0,9.0,2,0
NFL-STH-10007,9,Upper Bowl,4,3236,9,6,66.7,34.1,535.44,5,0,10.0,3,0
NFL-STH-10008,4,Club VIP,2,6727,9,9,100.0,0.0,2325.06,5,0,,4,0
NFL-STH-10009,5,Lower Bowl,2,3064,9,9,100.0,0.0,1066.32,3,0,10.0,7,0
NFL-STH-10010,1,Club VIP,2,6606,9,8,88.9,3.8,2000.88,5,0,9.0,5,0
NFL-STH-10011,15,Club VIP,8,25424,9,8,88.9,28.6,7651.36,3,2,7.0,6,0
NFL-STH-10012,8,Upper Bowl,6,5079,9,6,66.7,43.7,1088.52,0,0,9.0,2,0
NFL-STH-10013,1,Club VIP,2,6418,9,9,100.0,0.0,2139.66,2,0,,4,0
NFL-STH-10014,1,Lower Bowl,4,6676,9,7,77.8,14.8,1302.07,2,0,8.0,5,0
NFL-STH-10015,1,Lower Bowl,6,9601,9,8,88.9,0.0,4121.52,3,0,,5,0
NFL-STH-10016,2,Lower Bowl,2,3391,9,4,44.4,51.7,357.28,3,0,10.0,0,0
NFL-STH-10017,3,Upper Bowl,4,3436,9,6,66.7,37.6,913.02,4,0,10.0,3,0
NFL-STH-10018,3,Club VIP,6,18436,9,3,33.3,69.1,1690.98,4,1,7.0,1,0
NFL-STH-10019,2,Upper Bowl,2,1814,9,6,66.7,45.8,548.46,3,0,7.0,4,0
NFL-STH-10020,4,Upper Bowl,4,3375,9,8,88.9,19.0,1173.92,2,0,9.0,6,0
NFL-STH-10021,1,Lower Bowl,2,3247,9,6,66.7,43.0,686.64,2,0,10.0,2,0
NFL-STH-10022,2,Upper Bowl,6,5369,9,7,77.8,25.5,2038.33,4,0,9.0,3,0
NFL-STH-10023,2,Club VIP,8,25596,9,8,88.9,0.0,7727.12,3,0,7.0,4,0
NFL-STH-10024,3,Lower Bowl,6,9201,9,3,33.3,64.7,1309.5,0,0,9.0,2,0
NFL-STH-10025,7,Lower Bowl,2,3219,9,9,100.0,0.0,905.04,4,0,9.0,5,0
NFL-STH-10026,1,Upper Bowl,4,3711,9,7,77.8,32.8,726.67,3,0,,3,0
NFL-STH-10027,3,Upper Bowl,4,3557,9,7,77.8,21.7,1150.03,2,1,7.0,5,0
NFL-STH-10028,4,Lower Bowl,2,3362,9,7,77.8,27.2,843.01,1,0,8.0,4,0
NFL-STH-10029,1,Upper Bowl,4,3552,9,8,88.9,7.9,1480.48,3,1,8.0,3,0
